,date,state,fips,cases,deaths
141,18-02-2020,Nebraska,31,10,0
142,18-02-2020,Texas,48,2,0
143,18-02-2020,Washington,53,1,0
144,18-02-2020,Wisconsin,55,1,0
145,19-02-2020,Arizona,4,1,0
146,19-02-2020,California,6,7,0
147,19-02-2020,Illinois,17,2,0
148,19-02-2020,Massachusetts,25,1,0
149,19-02-2020,Nebraska,31,10,0
150,19-02-2020,Texas,48,2,0
151,19-02-2020,Washington,53,1,0
152,19-02-2020,Wisconsin,55,1,0
153,20-02-2020,Arizona,4,1,0
154,20-02-2020,California,6,8,0
155,20-02-2020,Illinois,17,2,0
156,20-02-2020,Massachusetts,25,1,0
157,20-02-2020,Nebraska,31,11,0
158,20-02-2020,Texas,48,2,0
159,20-02-2020,Washington,53,1,0
160,20-02-2020,Wisconsin,55,1,0
161,21-02-2020,Arizona,4,1,0
162,21-02-2020,California,6,9,0
163,21-02-2020,Illinois,17,2,0
164,21-02-2020,Massachusetts,25,1,0
165,21-02-2020,Nebraska,31,11,0
166,21-02-2020,Texas,48,4,0
167,21-02-2020,Washington,53,1,0
168,21-02-2020,Wisconsin,55,1,0
169,22-02-2020,Arizona,4,1,0
170,22-02-2020,California,6,9,0
171,22-02-2020,Illinois,17,2,0
172,22-02-2020,Massachusetts,25,1,0
173,22-02-2020,Nebraska,31,11,0
174,22-02-2020,Texas,48,4,0
175,22-02-2020,Washington,53,1,0
176,22-02-2020,Wisconsin,55,1,0
177,23-02-2020,Arizona,4,1,0
178,23-02-2020,California,6,9,0
179,23-02-2020,Illinois,17,2,0
180,23-02-2020,Massachusetts,25,1,0
181,23-02-2020,Nebraska,31,11,0
182,23-02-2020,Texas,48,4,0
183,23-02-2020,Washington,53,1,0
184,23-02-2020,Wisconsin,55,1,0
185,24-02-2020,Arizona,4,1,0
186,24-02-2020,California,6,11,0
187,24-02-2020,Illinois,17,2,0
188,24-02-2020,Massachusetts,25,1,0
189,24-02-2020,Nebraska,31,12,0
190,24-02-2020,Texas,48,10,0
191,24-02-2020,Washington,53,5,0
192,24-02-2020,Wisconsin,55,1,0
193,25-02-2020,Arizona,4,1,0
194,25-02-2020,California,6,11,0
195,25-02-2020,Illinois,17,2,0
196,25-02-2020,Massachusetts,25,1,0
197,25-02-2020,Nebraska,31,13,0
198,25-02-2020,Texas,48,10,0
199,25-02-2020,Utah,49,1,0
200,25-02-2020,Washington,53,5,0
201,25-02-2020,Wisconsin,55,1,0
202,26-02-2020,Arizona,4,1,0
203,26-02-2020,California,6,26,0
204,26-02-2020,Illinois,17,2,0
205,26-02-2020,Massachusetts,25,1,0
206,26-02-2020,Nebraska,31,13,0
207,26-02-2020,Texas,48,10,0
208,26-02-2020,Utah,49,1,0
209,26-02-2020,Washington,53,5,0
210,26-02-2020,Wisconsin,55,1,0
211,27-02-2020,Arizona,4,1,0
212,27-02-2020,California,6,26,0
213,27-02-2020,Illinois,17,2,0
214,27-02-2020,Massachusetts,25,1,0
215,27-02-2020,Nebraska,31,13,0
216,27-02-2020,Texas,48,10,0
217,27-02-2020,Utah,49,1,0
218,27-02-2020,Washington,53,5,0
219,27-02-2020,Wisconsin,55,1,0
220,28-02-2020,Arizona,4,1,0
221,28-02-2020,California,6,27,0
222,28-02-2020,Illinois,17,2,0
223,28-02-2020,Massachusetts,25,1,0
224,28-02-2020,Nebraska,31,13,0
225,28-02-2020,Oregon,41,1,0
226,28-02-2020,Texas,48,11,0
227,28-02-2020,Utah,49,1,0
228,28-02-2020,Washington,53,7,0
229,28-02-2020,Wisconsin,55,1,0
230,29-02-2020,Arizona,4,1,0
231,29-02-2020,California,6,28,0
232,29-02-2020,Illinois,17,3,0
233,29-02-2020,Massachusetts,25,1,0
234,29-02-2020,Nebraska,31,13,0
235,29-02-2020,Oregon,41,1,0
236,29-02-2020,Texas,48,11,0
237,29-02-2020,Utah,49,1,0
238,29-02-2020,Washington,53,10,1
239,29-02-2020,Wisconsin,55,1,0
240,01-03-2020,Arizona,4,1,0
241,01-03-2020,California,6,33,0
242,01-03-2020,Florida,12,2,0
243,01-03-2020,Illinois,17,3,0
244,01-03-2020,Massachusetts,25,1,0
245,01-03-2020,Nebraska,31,13,0
246,01-03-2020,New York,36,1,0
247,01-03-2020,Oregon,41,2,0
248,01-03-2020,Rhode Island,44,2,0
249,01-03-2020,Texas,48,11,0
250,01-03-2020,Utah,49,1,0
251,01-03-2020,Washington,53,17,3
252,01-03-2020,Wisconsin,55,1,0
253,02-03-2020,Arizona,4,1,0
254,02-03-2020,California,6,38,0
255,02-03-2020,Florida,12,2,0
256,02-03-2020,Georgia,13,2,0
257,02-03-2020,Illinois,17,4,0
258,02-03-2020,Massachusetts,25,2,0
259,02-03-2020,Nebraska,31,13,0
260,02-03-2020,New Hampshire,33,1,0
261,02-03-2020,New York,36,1,0
262,02-03-2020,Oregon,41,2,0
263,02-03-2020,Rhode Island,44,2,0
264,02-03-2020,Texas,48,11,0
265,02-03-2020,Utah,49,1,0
266,02-03-2020,Washington,53,23,6
267,02-03-2020,Wisconsin,55,1,0
268,03-03-2020,Arizona,4,2,0
269,03-03-2020,California,6,45,0
270,03-03-2020,Florida,12,3,0
271,03-03-2020,Georgia,13,2,0
272,03-03-2020,Illinois,17,4,0
273,03-03-2020,Massachusetts,25,2,0
274,03-03-2020,Nebraska,31,13,0
275,03-03-2020,New Hampshire,33,2,0
276,03-03-2020,New York,36,2,0
277,03-03-2020,North Carolina,37,1,0
278,03-03-2020,Oregon,41,2,0
279,03-03-2020,Rhode Island,44,2,0
280,03-03-2020,Texas,48,11,0
281,03-03-2020,Utah,49,1,0
282,03-03-2020,Washington,53,32,10
283,03-03-2020,Wisconsin,55,1,0
284,04-03-2020,Arizona,4,2,0
285,04-03-2020,California,6,55,1
286,04-03-2020,Florida,12,3,0
287,04-03-2020,Georgia,13,2,0
